cue target 1930, cosine similarity=0.09
sacred holy 1930, cosine similarity=0.40
sacred holy 1940, cosine similarity=0.40
sacred holy 1950, cosine similarity=0.42
sacred holy 1960, cosine similarity=0.45
sacred holy 1970, cosine similarity=0.41
sacred holy 1980, cosine similarity=0.43

sacred religion 1930, cosine similarity=0.30
sacred religion 1940, cosine similarity=0.29
sacred religion 1950, cosine similarity=0.35
sacred religion 1960, cosine similarity=0.29
sacred religion 1970, cosine similarity=0.35
sacred religion 1980, cosine similarity=0.34

sacred frightened 1930, cosine similarity=-0.06
sacred frightened 1940, cosine similarity=-0.05
sacred frightened 1950, cosine similarity=-0.00
sacred frightened 1960, cosine similarity=-0.01
sacred frightened 1970, cosine similarity=-0.01
sacred frightened 1980, cosine similarity=-0.00

sacred church 1930, cosine similarity=0.24
sacred church 1940, cosine similarity=0.22
sacred church 1950, cosine similarity=0.31
sacred church 1960, cosine similarity=0.24
sacred church 1970, cosine similarity=0.22
sacred church 1980, cosine similarity=0.28

sacred heart 1930, cosine similarity=0.25
sacred heart 1940, cosine similarity=0.23
sacred heart 1950, cosine similarity=0.25
sacred heart 1960, cosine similarity=0.24
sacred heart 1970, cosine similarity=0.22
sacred heart 1980, cosine similarity=0.23

sacred special 1930, cosine similarity=0.01
sacred special 1940, cosine similarity=0.08
sacred special 1950, cosine similarity=0.00
sacred special 1960, cosine similarity=0.02
sacred special 1970, cosine similarity=-0.02
sacred special 1980, cosine similarity=0.12

sacred cross 1930, cosine similarity=0.10
sacred cross 1940, cosine similarity=0.09
sacred cross 1950, cosine similarity=0.05
sacred cross 1960, cosine similarity=0.10
sacred cross 1970, cosine similarity=0.07
sacred cross 1980, cosine similarity=0.07

sacred important 1930, cosine similarity=0.11
sacred important 1940, cosine similarity=0.07
sacred important 1950, cosine similarity=0.04
sacred important 1960, cosine similarity=0.02
sacred important 1970, cosine similarity=0.05
sacred important 1980, cosine similarity=0.05

sacred god 1930, cosine similarity=0.24
sacred god 1940, cosine similarity=0.23
sacred god 1950, cosine similarity=0.24
sacred god 1960, cosine similarity=0.26
sacred god 1970, cosine similarity=0.23
sacred god 1980, cosine similarity=0.23

sacred love 1930, cosine similarity=0.18
sacred love 1940, cosine similarity=0.19
sacred love 1950, cosine similarity=0.24
sacred love 1960, cosine similarity=0.24
sacred love 1970, cosine similarity=0.21
sacred love 1980, cosine similarity=0.29

sacred precious 1930, cosine similarity=0.22
sacred precious 1940, cosine similarity=0.25
sacred precious 1950, cosine similarity=0.32
sacred precious 1960, cosine similarity=0.29
sacred precious 1970, cosine similarity=0.33
sacred precious 1980, cosine similarity=0.29

sacred secret 1930, cosine similarity=0.18
sacred secret 1940, cosine similarity=0.15
sacred secret 1950, cosine similarity=0.20
sacred secret 1960, cosine similarity=0.13
sacred secret 1970, cosine similarity=0.19
sacred secret 1980, cosine similarity=0.24

sacred cherished 1930, cosine similarity=0.21
sacred cherished 1940, cosine similarity=0.20
sacred cherished 1950, cosine similarity=0.26
sacred cherished 1960, cosine similarity=0.23
sacred cherished 1970, cosine similarity=0.29
sacred cherished 1980, cosine similarity=0.24

sacred child 1930, cosine similarity=-0.03
sacred child 1940, cosine similarity=0.00
sacred child 1950, cosine similarity=-0.06
sacred child 1960, cosine similarity=-0.08
sacred child 1970, cosine similarity=-0.05
sacred child 1980, cosine similarity=0.00

sacred dark 1930, cosine similarity=-0.01
sacred dark 1940, cosine similarity=-0.02
sacred dark 1950, cosine similarity=0.03
sacred dark 1960, cosine similarity=0.08
sacred dark 1970, cosine similarity=0.01
sacred dark 1980, cosine similarity=0.09

sacred marriage 1930, cosine similarity=0.08
sacred marriage 1940, cosine similarity=0.19
sacred marriage 1950, cosine similarity=0.12
sacred marriage 1960, cosine similarity=0.19
sacred marriage 1970, cosine similarity=0.14
sacred marriage 1980, cosine similarity=0.15

sacred night 1930, cosine similarity=0.05
sacred night 1940, cosine similarity=0.07
sacred night 1950, cosine similarity=0.06
sacred night 1960, cosine similarity=0.06
sacred night 1970, cosine similarity=0.06
sacred night 1980, cosine similarity=0.03

sacred personal 1930, cosine similarity=0.08
sacred personal 1940, cosine similarity=0.08
sacred personal 1950, cosine similarity=0.09
sacred personal 1960, cosine similarity=0.13
sacred personal 1970, cosine similarity=0.10
sacred personal 1980, cosine similarity=-0.01

sacred sacrilegious 1930, cosine similarity=0.00
sacred sacrilegious 1940, cosine similarity=0.00
sacred sacrilegious 1950, cosine similarity=0.09
sacred sacrilegious 1960, cosine similarity=0.13
sacred sacrilegious 1970, cosine similarity=0.16
sacred sacrilegious 1980, cosine similarity=0.13

sacred temple 1930, cosine similarity=0.34
sacred temple 1940, cosine similarity=0.26
sacred temple 1950, cosine similarity=0.31
sacred temple 1960, cosine similarity=0.31
sacred temple 1970, cosine similarity=0.31
sacred temple 1980, cosine similarity=0.34

sacred truth 1930, cosine similarity=0.05
sacred truth 1940, cosine similarity=0.12
sacred truth 1950, cosine similarity=0.19
sacred truth 1960, cosine similarity=0.16
sacred truth 1970, cosine similarity=0.15
sacred truth 1980, cosine similarity=0.17

sad happy 1930, cosine similarity=0.37
sad happy 1940, cosine similarity=0.38
sad happy 1950, cosine similarity=0.40
sad happy 1960, cosine similarity=0.40
sad happy 1970, cosine similarity=0.41
sad happy 1980, cosine similarity=0.47

sad glad 1930, cosine similarity=0.24
sad glad 1940, cosine similarity=0.34
sad glad 1950, cosine similarity=0.28
sad glad 1960, cosine similarity=0.28
sad glad 1970, cosine similarity=0.31
sad glad 1980, cosine similarity=0.34

sad cry 1930, cosine similarity=0.16
sad cry 1940, cosine similarity=0.24
sad cry 1950, cosine similarity=0.31
sad cry 1960, cosine similarity=0.24
sad cry 1970, cosine similarity=0.23
sad cry 1980, cosine similarity=0.26

sad unhappy 1930, cosine similarity=0.38
sad unhappy 1940, cosine similarity=0.43
sad unhappy 1950, cosine similarity=0.52
sad unhappy 1960, cosine similarity=0.46
sad unhappy 1970, cosine similarity=0.52
sad unhappy 1980, cosine similarity=0.48

sad depressed 1930, cosine similarity=0.16
sad depressed 1940, cosine similarity=0.21
sad depressed 1950, cosine similarity=0.26
sad depressed 1960, cosine similarity=0.20
sad depressed 1970, cosine similarity=0.20
sad depressed 1980, cosine similarity=0.26

sad blue 1930, cosine similarity=0.03
sad blue 1940, cosine similarity=0.07
sad blue 1950, cosine similarity=0.10
sad blue 1960, cosine similarity=0.10
sad blue 1970, cosine similarity=0.11
sad blue 1980, cosine similarity=0.15

sad tear 1930, cosine similarity=0.07
sad tear 1940, cosine similarity=0.09
sad tear 1950, cosine similarity=0.18
sad tear 1960, cosine similarity=0.17
sad tear 1970, cosine similarity=0.14
sad tear 1980, cosine similarity=0.11

saddle horse 1930, cosine similarity=0.45
saddle horse 1940, cosine similarity=0.43
saddle horse 1950, cosine similarity=0.46
saddle horse 1960, cosine similarity=0.50
saddle horse 1970, cosine similarity=0.41
saddle horse 1980, cosine similarity=0.41

saddle ride 1930, cosine similarity=0.38
saddle ride 1940, cosine similarity=0.33
saddle ride 1950, cosine similarity=0.36
saddle ride 1960, cosine similarity=0.38
saddle ride 1970, cosine similarity=0.31
saddle ride 1980, cosine similarity=0.35

saddle bag 1930, cosine similarity=0.35
saddle bag 1940, cosine similarity=0.26
saddle bag 1950, cosine similarity=0.32
saddle bag 1960, cosine similarity=0.29
saddle bag 1970, cosine similarity=0.27
saddle bag 1980, cosine similarity=0.28

saddle sore 1930, cosine similarity=0.09
saddle sore 1940, cosine similarity=0.13
saddle sore 1950, cosine similarity=0.11
saddle sore 1960, cosine similarity=0.23
saddle sore 1970, cosine similarity=0.13
saddle sore 1980, cosine similarity=0.13

safari jungle 1930, cosine similarity=0.00
safari jungle 1940, cosine similarity=0.00
safari jungle 1950, cosine similarity=0.00
safari jungle 1960, cosine similarity=0.00
safari jungle 1970, cosine similarity=0.00
safari jungle 1980, cosine similarity=0.23

safari africa 1930, cosine similarity=0.00
safari africa 1940, cosine similarity=0.00
safari africa 1950, cosine similarity=0.00
safari africa 1960, cosine similarity=0.00
safari africa 1970, cosine similarity=0.00
safari africa 1980, cosine similarity=0.22

safari lion 1930, cosine similarity=0.00
safari lion 1940, cosine similarity=0.00
safari lion 1950, cosine similarity=0.00
safari lion 1960, cosine similarity=0.00
safari lion 1970, cosine similarity=0.00
safari lion 1980, cosine similarity=0.10

safari animal 1930, cosine similarity=0.00
safari animal 1940, cosine similarity=0.00
safari animal 1950, cosine similarity=0.00
safari animal 1960, cosine similarity=0.00
safari animal 1970, cosine similarity=0.00
safari animal 1980, cosine similarity=-0.07

safari desert 1930, cosine similarity=0.00
safari desert 1940, cosine similarity=0.00
safari desert 1950, cosine similarity=0.00
safari desert 1960, cosine similarity=0.00
safari desert 1970, cosine similarity=0.00
safari desert 1980, cosine similarity=0.19

safari hunt 1930, cosine similarity=0.00
safari hunt 1940, cosine similarity=0.00
safari hunt 1950, cosine similarity=0.00
safari hunt 1960, cosine similarity=0.00
safari hunt 1970, cosine similarity=0.00
safari hunt 1980, cosine similarity=0.19

safari giraffe 1930, cosine similarity=0.00
safari giraffe 1940, cosine similarity=0.00
safari giraffe 1950, cosine similarity=0.00
safari giraffe 1960, cosine similarity=0.00
safari giraffe 1970, cosine similarity=0.00
safari giraffe 1980, cosine similarity=0.19

safari adventure 1930, cosine similarity=0.00
safari adventure 1940, cosine similarity=0.00
safari adventure 1950, cosine similarity=0.00
safari adventure 1960, cosine similarity=0.00
safari adventure 1970, cosine similarity=0.00
safari adventure 1980, cosine similarity=0.13

safari elephant 1930, cosine similarity=0.00
safari elephant 1940, cosine similarity=0.00
safari elephant 1950, cosine similarity=0.00
safari elephant 1960, cosine similarity=0.00
safari elephant 1970, cosine similarity=0.00
safari elephant 1980, cosine similarity=0.18

safari jeep 1930, cosine similarity=0.00
safari jeep 1940, cosine similarity=0.00
safari jeep 1950, cosine similarity=0.00
safari jeep 1960, cosine similarity=0.00
safari jeep 1970, cosine similarity=0.00
safari jeep 1980, cosine similarity=0.10

safari trip 1930, cosine similarity=0.00
safari trip 1940, cosine similarity=0.00
safari trip 1950, cosine similarity=0.00
safari trip 1960, cosine similarity=0.00
safari trip 1970, cosine similarity=0.00
safari trip 1980, cosine similarity=0.08

safari expedition 1930, cosine similarity=0.00
safari expedition 1940, cosine similarity=0.00
safari expedition 1950, cosine similarity=0.00
safari expedition 1960, cosine similarity=0.00
safari expedition 1970, cosine similarity=0.00
safari expedition 1980, cosine similarity=0.13

safari hat 1930, cosine similarity=0.00
safari hat 1940, cosine similarity=0.00
safari hat 1950, cosine similarity=0.00
safari hat 1960, cosine similarity=0.00
safari hat 1970, cosine similarity=0.00
safari hat 1980, cosine similarity=0.23

safari surfing 1930, cosine similarity=0.00
safari surfing 1940, cosine similarity=0.00
safari surfing 1950, cosine similarity=0.00
safari surfing 1960, cosine similarity=0.00
safari surfing 1970, cosine similarity=0.00
safari surfing 1980, cosine similarity=0.00

safari tiger 1930, cosine similarity=0.00
safari tiger 1940, cosine similarity=0.00
safari tiger 1950, cosine similarity=0.00
safari tiger 1960, cosine similarity=0.00
safari tiger 1970, cosine similarity=0.00
safari tiger 1980, cosine similarity=0.24

safe secure 1930, cosine similarity=0.24
safe secure 1940, cosine similarity=0.28
safe secure 1950, cosine similarity=0.27
safe secure 1960, cosine similarity=0.37
safe secure 1970, cosine similarity=0.32
safe secure 1980, cosine similarity=0.33

safe danger 1930, cosine similarity=0.06
safe danger 1940, cosine similarity=0.14
safe danger 1950, cosine similarity=0.13
safe danger 1960, cosine similarity=0.14
safe danger 1970, cosine similarity=0.08
safe danger 1980, cosine similarity=0.14

safe money 1930, cosine similarity=0.13
safe money 1940, cosine similarity=0.21
safe money 1950, cosine similarity=0.15
safe money 1960, cosine similarity=0.22
safe money 1970, cosine similarity=0.15
safe money 1980, cosine similarity=0.14

safe home 1930, cosine similarity=0.21
safe home 1940, cosine similarity=0.18
safe home 1950, cosine similarity=0.25
safe home 1960, cosine similarity=0.27
safe home 1970, cosine similarity=0.20
safe home 1980, cosine similarity=0.22

safe lock 1930, cosine similarity=0.20
safe lock 1940, cosine similarity=0.22
safe lock 1950, cosine similarity=0.19
safe lock 1960, cosine similarity=0.17
safe lock 1970, cosine similarity=0.15
safe lock 1980, cosine similarity=0.18

safe sound 1930, cosine similarity=0.22
safe sound 1940, cosine similarity=0.21
safe sound 1950, cosine similarity=0.27
safe sound 1960, cosine similarity=0.24
safe sound 1970, cosine similarity=0.21
safe sound 1980, cosine similarity=0.19

safe team 1930, cosine similarity=0.03
safe team 1940, cosine similarity=0.01
safe team 1950, cosine similarity=0.03
safe team 1960, cosine similarity=-0.01
safe team 1970, cosine similarity=-0.08
safe team 1980, cosine similarity=0.01

safe bank 1930, cosine similarity=0.12
safe bank 1940, cosine similarity=0.11
safe bank 1950, cosine similarity=0.14
safe bank 1960, cosine similarity=0.05
safe bank 1970, cosine similarity=0.12
safe bank 1980, cosine similarity=0.04

safe protect 1930, cosine similarity=0.17
safe protect 1940, cosine similarity=0.17
safe protect 1950, cosine similarity=0.14
safe protect 1960, cosine similarity=0.21
safe protect 1970, cosine similarity=0.17
safe protect 1980, cosine similarity=0.21

safe scared 1930, cosine similarity=0.03
safe scared 1940, cosine similarity=0.06
safe scared 1950, cosine similarity=0.09
safe scared 1960, cosine similarity=0.09
safe scared 1970, cosine similarity=0.03
safe scared 1980, cosine similarity=0.08

safe unsafe 1930, cosine similarity=0.35
safe unsafe 1940, cosine similarity=0.44
safe unsafe 1950, cosine similarity=0.36
safe unsafe 1960, cosine similarity=0.38
safe unsafe 1970, cosine similarity=0.35
safe unsafe 1980, cosine similarity=0.36

safe vault 1930, cosine similarity=0.24
safe vault 1940, cosine similarity=0.26
safe vault 1950, cosine similarity=0.21
safe vault 1960, cosine similarity=0.18
safe vault 1970, cosine similarity=0.16
safe vault 1980, cosine similarity=0.14

safe baseball 1930, cosine similarity=-0.12
safe baseball 1940, cosine similarity=-0.02
safe baseball 1950, cosine similarity=-0.04
safe baseball 1960, cosine similarity=-0.11
safe baseball 1970, cosine similarity=-0.09
safe baseball 1980, cosine similarity=-0.07

safe comfort 1930, cosine similarity=0.10
safe comfort 1940, cosine similarity=0.14
safe comfort 1950, cosine similarity=0.20
safe comfort 1960, cosine similarity=0.19
safe comfort 1970, cosine similarity=0.19
safe comfort 1980, cosine similarity=0.13

safe guard 1930, cosine similarity=0.15
safe guard 1940, cosine similarity=0.18
safe guard 1950, cosine similarity=0.12
safe guard 1960, cosine similarity=0.16
safe guard 1970, cosine similarity=0.11
safe guard 1980, cosine similarity=0.13

safe happy 1930, cosine similarity=0.28
safe happy 1940, cosine similarity=0.21
safe happy 1950, cosine similarity=0.27
safe happy 1960, cosine similarity=0.30
safe happy 1970, cosine similarity=0.25
safe happy 1980, cosine similarity=0.25

safe mom 1930, cosine similarity=0.00
safe mom 1940, cosine similarity=0.10
safe mom 1950, cosine similarity=0.11
safe mom 1960, cosine similarity=0.11
safe mom 1970, cosine similarity=0.14
safe mom 1980, cosine similarity=0.07

safe okay 1930, cosine similarity=0.09
safe okay 1940, cosine similarity=0.13
safe okay 1950, cosine similarity=0.09
safe okay 1960, cosine similarity=0.13
safe okay 1970, cosine similarity=0.18
safe okay 1980, cosine similarity=0.17

safe out 1930, cosine similarity=0.03
safe out 1940, cosine similarity=0.10
safe out 1950, cosine similarity=0.03
safe out 1960, cosine similarity=0.03
safe out 1970, cosine similarity=0.01
safe out 1980, cosine similarity=0.12

safe sorry 1930, cosine similarity=0.20
safe sorry 1940, cosine similarity=0.14
safe sorry 1950, cosine similarity=0.14
safe sorry 1960, cosine similarity=0.21
safe sorry 1970, cosine similarity=0.20
safe sorry 1980, cosine similarity=0.20

safe sure 1930, cosine similarity=0.34
safe sure 1940, cosine similarity=0.31
safe sure 1950, cosine similarity=0.34
safe sure 1960, cosine similarity=0.36
safe sure 1970, cosine similarity=0.32
safe sure 1980, cosine similarity=0.37

safety seatbelt 1930, cosine similarity=0.00
safety seatbelt 1940, cosine similarity=0.00
safety seatbelt 1950, cosine similarity=0.00
safety seatbelt 1960, cosine similarity=0.00
safety seatbelt 1970, cosine similarity=0.00
safety seatbelt 1980, cosine similarity=0.00

safety danger 1930, cosine similarity=0.29
safety danger 1940, cosine similarity=0.23
safety danger 1950, cosine similarity=0.22
safety danger 1960, cosine similarity=0.22
safety danger 1970, cosine similarity=0.26
safety danger 1980, cosine similarity=0.20

safety careful 1930, cosine similarity=0.03
safety careful 1940, cosine similarity=0.12
safety careful 1950, cosine similarity=0.07
safety careful 1960, cosine similarity=0.15
safety careful 1970, cosine similarity=0.05
safety careful 1980, cosine similarity=0.06

safety caution 1930, cosine similarity=0.17
safety caution 1940, cosine similarity=0.19
safety caution 1950, cosine similarity=0.17
safety caution 1960, cosine similarity=0.14
safety caution 1970, cosine similarity=0.11
safety caution 1980, cosine similarity=0.10

safety goggles 1930, cosine similarity=0.00
safety goggles 1940, cosine similarity=0.22
safety goggles 1950, cosine similarity=0.18
safety goggles 1960, cosine similarity=0.13
safety goggles 1970, cosine similarity=0.22
safety goggles 1980, cosine similarity=0.26

safety protection 1930, cosine similarity=0.40
safety protection 1940, cosine similarity=0.41
safety protection 1950, cosine similarity=0.34
safety protection 1960, cosine similarity=0.39
safety protection 1970, cosine similarity=0.40
safety protection 1980, cosine similarity=0.43

safety pin 1930, cosine similarity=0.18
safety pin 1940, cosine similarity=0.12
safety pin 1950, cosine similarity=0.16
safety pin 1960, cosine similarity=0.14
safety pin 1970, cosine similarity=0.09
safety pin 1980, cosine similarity=0.14

safety drive 1930, cosine similarity=0.05
safety drive 1940, cosine similarity=0.13
safety drive 1950, cosine similarity=0.09
safety drive 1960, cosine similarity=0.09
safety drive 1970, cosine similarity=0.05
safety drive 1980, cosine similarity=0.04

safety net 1930, cosine similarity=-0.01
safety net 1940, cosine similarity=0.01
safety net 1950, cosine similarity=-0.04
safety net 1960, cosine similarity=0.00
safety net 1970, cosine similarity=0.04
safety net 1980, cosine similarity=0.14

safety precaution 1930, cosine similarity=0.26
safety precaution 1940, cosine similarity=0.28
safety precaution 1950, cosine similarity=0.29
safety precaution 1960, cosine similarity=0.32
safety precaution 1970, cosine similarity=0.27
safety precaution 1980, cosine similarity=0.22

safety rules 1930, cosine similarity=0.12
safety rules 1940, cosine similarity=0.14
safety rules 1950, cosine similarity=0.13
safety rules 1960, cosine similarity=0.13
safety rules 1970, cosine similarity=0.09
safety rules 1980, cosine similarity=0.09

safety secure 1930, cosine similarity=0.29
safety secure 1940, cosine similarity=0.30
safety secure 1950, cosine similarity=0.29
safety secure 1960, cosine similarity=0.34
safety secure 1970, cosine similarity=0.30
safety secure 1980, cosine similarity=0.27

safety feature 1930, cosine similarity=-0.01
safety feature 1940, cosine similarity=-0.07
safety feature 1950, cosine similarity=-0.03
safety feature 1960, cosine similarity=-0.08
safety feature 1970, cosine similarity=-0.04
safety feature 1980, cosine similarity=-0.11

safety home 1930, cosine similarity=0.19
safety home 1940, cosine similarity=0.15
safety home 1950, cosine similarity=0.13
safety home 1960, cosine similarity=0.17
safety home 1970, cosine similarity=0.17
safety home 1980, cosine similarity=0.11

safety patrol 1930, cosine similarity=0.15
safety patrol 1940, cosine similarity=0.08
safety patrol 1950, cosine similarity=0.10
safety patrol 1960, cosine similarity=0.18
safety patrol 1970, cosine similarity=0.24
safety patrol 1980, cosine similarity=0.21

safety police 1930, cosine similarity=0.18
safety police 1940, cosine similarity=0.22
safety police 1950, cosine similarity=0.14
safety police 1960, cosine similarity=0.17
safety police 1970, cosine similarity=0.16
safety police 1980, cosine similarity=0.16

safety security 1930, cosine similarity=0.53
safety security 1940, cosine similarity=0.40
safety security 1950, cosine similarity=0.38
safety security 1960, cosine similarity=0.47
safety security 1970, cosine similarity=0.42
safety security 1980, cosine similarity=0.37

safety comfort 1930, cosine similarity=0.43
safety comfort 1940, cosine similarity=0.40
safety comfort 1950, cosine similarity=0.42
safety comfort 1960, cosine similarity=0.41
safety comfort 1970, cosine similarity=0.36
safety comfort 1980, cosine similarity=0.33

safety fear 1930, cosine similarity=0.18
safety fear 1940, cosine similarity=0.18
safety fear 1950, cosine similarity=0.16
safety fear 1960, cosine similarity=0.15
safety fear 1970, cosine similarity=0.16
safety fear 1980, cosine similarity=0.17

sage spice 1930, cosine similarity=0.02
sage spice 1940, cosine similarity=0.09
sage spice 1950, cosine similarity=0.07
sage spice 1960, cosine similarity=-0.07
sage spice 1970, cosine similarity=0.01
sage spice 1980, cosine similarity=0.09

sage wise 1930, cosine similarity=0.14
sage wise 1940, cosine similarity=0.15
sage wise 1950, cosine similarity=0.20
sage wise 1960, cosine similarity=0.22
sage wise 1970, cosine similarity=0.13
sage wise 1980, cosine similarity=0.13

sage herb 1930, cosine similarity=0.25
sage herb 1940, cosine similarity=0.25
sage herb 1950, cosine similarity=0.20
sage herb 1960, cosine similarity=0.16
sage herb 1970, cosine similarity=0.10
sage herb 1980, cosine similarity=0.26

sage brush 1930, cosine similarity=0.23
sage brush 1940, cosine similarity=0.20
sage brush 1950, cosine similarity=0.22
sage brush 1960, cosine similarity=0.22
sage brush 1970, cosine similarity=0.20
sage brush 1980, cosine similarity=0.18

sage bush 1930, cosine similarity=0.24
sage bush 1940, cosine similarity=0.17
sage bush 1950, cosine similarity=0.13
sage bush 1960, cosine similarity=0.17
sage bush 1970, cosine similarity=0.15
sage bush 1980, cosine similarity=0.16

sage parsley 1930, cosine similarity=0.24
sage parsley 1940, cosine similarity=0.28
sage parsley 1950, cosine similarity=0.25
sage parsley 1960, cosine similarity=0.29
sage parsley 1970, cosine similarity=0.31
sage parsley 1980, cosine similarity=0.30

sage oregano 1930, cosine similarity=0.00
sage oregano 1940, cosine similarity=0.00
sage oregano 1950, cosine similarity=0.00
sage oregano 1960, cosine similarity=0.00
sage oregano 1970, cosine similarity=0.35
sage oregano 1980, cosine similarity=0.31

sage smart 1930, cosine similarity=0.12
sage smart 1940, cosine similarity=0.07
sage smart 1950, cosine similarity=0.03
sage smart 1960, cosine similarity=0.05
sage smart 1970, cosine similarity=0.04
sage smart 1980, cosine similarity=-0.00

sage basil 1930, cosine similarity=0.26
sage basil 1940, cosine similarity=0.25
sage basil 1950, cosine similarity=0.28
sage basil 1960, cosine similarity=0.23
sage basil 1970, cosine similarity=0.32
sage basil 1980, cosine similarity=0.38

sage dog 1930, cosine similarity=-0.05
sage dog 1940, cosine similarity=0.06
sage dog 1950, cosine similarity=0.02
sage dog 1960, cosine similarity=0.06
sage dog 1970, cosine similarity=-0.02
sage dog 1980, cosine similarity=-0.01

sage flower 1930, cosine similarity=0.09
sage flower 1940, cosine similarity=0.14
sage flower 1950, cosine similarity=0.18
sage flower 1960, cosine similarity=0.09
sage flower 1970, cosine similarity=0.16
sage flower 1980, cosine similarity=0.10

sage rage 1930, cosine similarity=0.05
sage rage 1940, cosine similarity=0.08
sage rage 1950, cosine similarity=0.05
sage rage 1960, cosine similarity=0.03
sage rage 1970, cosine similarity=0.10
sage rage 1980, cosine similarity=0.11

sage rosemary 1930, cosine similarity=0.33
sage rosemary 1940, cosine similarity=0.28
sage rosemary 1950, cosine similarity=0.36
sage rosemary 1960, cosine similarity=0.29
sage rosemary 1970, cosine similarity=0.28
sage rosemary 1980, cosine similarity=0.31

sage seasoning 1930, cosine similarity=0.09
sage seasoning 1940, cosine similarity=0.00
sage seasoning 1950, cosine similarity=0.09
